text	label
Certidão de Publicação Expedida Relação :1042/2016 Data da Disponibilização: 13/12/2016 Data da Publicação: 14/12/2016 Número do Diário: 2258 Página: 1595/1596	H:Suspenso
Decurso de Prazo	H:Suspenso
Certidão de Publicação Expedida Relação :0455/2017 Data da Disponibilização: 05/09/2017 Data da Publicação: 06/09/2017 Número do Diário: 2425 Página: 2501/2517	H:Arquivado
Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital	H:Arquivado
Certidão de Trânsito em Julgado com Baixa Expedida-Art. 267, I, IV, VI e IX do CPC. Certidão - Trânsito em Julgado com Baixa - Sem Resolução do Mérito - Art. 485, I, IV, VI e IX do CPC - Processo Digital	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Arquivado Definitivamente extrinto com cumprimento de sentença Comunicado 1789/2007	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:5127Situação:Em fase de encaminhamento ao arquivo	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo	H:Ativo
Início da Execução Juntado 0026174-57.2018.8.26.0053 - Cumprimento Provisório de Sentença	H:Ativo
Certidão de Cartório Expedida Certidão - Genérica	H:Arquivado
Certidão de Publicação Expedida Relação :0082/2019 Data da Disponibilização: 02/04/2019 Data da Publicação: 03/04/2019 Número do Diário: 2780 Página: 1336/1344	H:Ativo
Arquivado Provisoriamente PACOTE 14.155/19- 1º AO 3º VOL	H:Suspenso
Remetida a Carta Precatória ao Cartório de Origem Sem Cumprimento	H:Arquivado
Arquivado Definitivamente arquivado maço nº 2118/2018.	H:Arquivado
Certidão Certidão	H:Ativo
Arquivado Definitivamente - Processo Findo com Condenação Pacote: 9475/2016	H:Arquivado
Arquivado Provisoriamente	H:Suspenso
Decurso de Prazo Certifico e dou fé haver decorrido o prazo, sem a manifestação do exequente. São Paulo, 23 de janeiro de 2019. Eu, ___, Selma Aparecida de Oliveira Ilha de Campos, Escrevente Técnico Judiciário.	H:Suspenso
Certidão de Cartório Expedida Decurso do Prazo 15 dias - partes	H:Ativo
Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Complexo do Ipiranga, sala 38 Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo	H:Ativo
Recebidos os Autos do Distribuidor local	H:Ativo
Remetidos os Autos para o Colégio Recursal Tipo de local de destino: Colégio Recursal Especificação do local de destino: Colégio Recursal	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 20/03/2019 devido à alteração da tabela de feriados	H:Ativo
Tipo do Movimento:Recebimento 	H:Ativo
Arquivado Definitivamente Remessa ao Arquivo Geral	H:Arquivado
Suspensão do Prazo Prazo referente ao usuário foi alterado para 09/04/2019 devido à alteração da tabela de feriados	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 22/04/2019 devido à alteração da tabela de feriados	H:Ativo
Decurso de Prazo Certidão de decurso de prazo - processo digital	H:Ativo
Petição Juntada Nº Protocolo: WFPA.18.70278326-6 Tipo da Petição: Petições Diversas Data: 27/07/2018 09:38	H:Ativo
Mandado Juntado	H:Arquivado
Certidão de Publicação Expedida Relação :0780/2018 Data da Disponibilização: 08/11/2018 Data da Publicação: 09/11/2018 Número do Diário: 2696 Página: 2879	H:Ativo
Certidão de Publicação Expedida Relação :0100/2019 Data da Disponibilização: 08/03/2019 Data da Publicação: 11/03/2019 Número do Diário: 2763 Página: 1958/1961	H:Arquivado
Disponibilização no Diário da Justiça Eletrônico	H:Ativo
Arquivado Provisoriamente	H:Suspenso
Baixa Definitiva	H:Arquivado
Recebidos os Autos do Tribunal de Justiça Data do julgamento: 30/01/2018 Trânsito em julgado: Tipo de julgamento: Acórdão Decisão: Adequação do v. acórdão ao entendimento firmado pelo C. Supremo Tribunal Federal, no RE nº 870.947/SE, Tema nº 810. Situação do provimento: Provimento Relator: Camargo Pereira	H:Ativo
Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico que o Perito se manifestou em atendimento a determinação de fls. 417.	H:Ativo
Certidão de Publicação Expedida Relação :0372/2018 Data da Disponibilização: 19/10/2018 Data da Publicação: 22/10/2018 Número do Diário: 2683 Página: 1202/1213	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 19/07/2017 devido à alteração da tabela de feriados	H:Ativo
Trânsito em Julgado às partes Certifico e dou fé que a r. sentença de fls. 183 transitou em julgado em 06/02/2019.	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 07/03/2019 devido à alteração da tabela de feriados	H:Ativo
Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico que o advogado com OAB/RJ-142712 retirou o Alvará 106/2019, de fls 137, em 13/02/2019. Certifico ainda que o mesmo retirou os alvarás 122/2019 e 123/2019, de fls 140-141, na data de hoje.	H:Ativo
Arquivado Definitivamente	H:Arquivado
Ofício Requisitório - Comunicação - Protocolo Eletrônico - DEPRE	H:Arquivado
Certidão de Publicação Expedida Relação :0294/2016 Data da Disponibilização: 31/08/2016 Data da Publicação: 01/09/2016 Número do Diário: 2191 Página: 2518/2522	H:Arquivado
Certidão de Inscrição da Dívida Expedida Certidão - Inscrição da Dívida Ativa - Multa Penal	H:Ativo
Arquivado Definitivamente REMETIDOS 1º AO 4º VOLUMES.	H:Arquivado
Conclusos para Despacho	H:Ativo
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados PACOTE 13318/19 (2 VOLS.)	H:Arquivado
Certidão de Cartório Expedida Certidão - Genérica	H:Ativo
Baixa Definitiva	H:Arquivado
Baixa Definitiva Extinto nos termos do art. 924, II do CPC	H:Arquivado
Baixa Definitiva	H:Arquivado
Certidão de Publicação Expedida Relação :0184/2016 Data da Publicação: 31/03/2016 Data da Disponibilização: 30/03/2016 Número do Diário: 2085 Página: 1467/1471	H:Arquivado
Arquivado Provisoriamente PACOTE 13.632/17- 1º,2º VOL	H:Suspenso
Arquivado Provisoriamente	H:Suspenso
Arquivado Definitivamente	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Arquivado Definitivamente	H:Arquivado
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Retornou ao Arquivo Geral - Recall - Pacote nº 1812/2007 - (1º e 2º Volume)	H:Arquivado
Baixa Definitiva	H:Arquivado
Certidão de Cartório Expedida Certidão - Genérica	H:Arquivado
Certidão de Publicação Expedida Relação :0081/2019 Data da Disponibilização: 02/04/2019 Data da Publicação: 03/04/2019 Número do Diário: 2780 Página: 1690/1694	H:Ativo
Arquivado Definitivamente	H:Arquivado
Cancelada a Distribuição (movimentação exclusiva do distribuidor) Cancelado conforme r. decisão de fls. 41	H:Arquivado
Recebidos os Autos do Ministério Público Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 2ª. Vara Cível	H:Ativo
Arquivado Definitivamente	H:Arquivado
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados	H:Arquivado
Baixa Definitiva	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Arquivado Definitivamente	H:Arquivado
Arquivado Definitivamente ARQUIVADO NO PACOTE Nº 13.124/2018 (ÚNICO VOLUME)	H:Arquivado
Autos no Prazo AGUARDANDO PAGAMENTO - CAIXA DE ORDEM 35 Vencimento: 30/01/2019	H:Ativo
Remetido ao DJE Relação: 0138/2019 Teor do ato: Vistos. Fls.584/592: o requerimento deve ser direcionado ao incidente digital de cumprimento de sentença n° 0007171-53.2017.8.26.0053. Arquivem-se. Intime-se. Advogados(s): Kristina Yassuko Iha Kian Wandalsen (OAB 146276/SP), DANIELLA DI CUNTO ALONSO MUNHOZ (OAB 138089/SP)	H:Ativo
Decurso de Prazo certidão nada requerido	H:Suspenso
Baixa Definitiva	H:Arquivado
Baixa Definitiva	H:Arquivado
Petição Juntada Nº Protocolo: WPIN.18.70027951-0 Tipo da Petição: Petições Diversas Data: 12/03/2018 09:42	H:Suspenso
Tipo do Movimento:Juntada - Petição Número do Documento:201901924530 - Proger Comarca da Capital	H:Ativo
Suspensão do Prazo Prazo referente à movimentação foi alterado para 26/06/2018 devido à alteração da tabela de feriados	H:Ativo
Recebidos os Autos da Conclusão Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 1ª Vara	H:Ativo
Arquivado Definitivamente	H:Arquivado
Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum Cível - Número: 80020 - Protocolo: FFPA19000092738	H:Ativo
Trânsito em Julgado às partes - Suspenso Certidão - Trânsito em Julgado	H:Arquivado
Tipo do Movimento:RemessaDestinatário:Central de Arquivamento Prazo:15 dia(s)	H:Arquivado
Ofício Juntado	H:Suspenso
Tipo do Movimento:Publicado  Atos da Serventia Folhas do DJERJ.:602/607	H:Ativo
Certidão de Publicação Expedida Relação :1459/2018 Data da Disponibilização: 05/12/2018 Data da Publicação: 06/12/2018 Número do Diário: 2711 Página: 1944/1970	H:Ativo
Remetidos os Autos à Minuta MINUTA 01/04	H:Ativo
Início da Execução Juntado 0008003-11.2018.8.26.0002 - Cumprimento de sentença	H:Suspenso
Certidão de Objeto e Pé Expedida Certidão - Objeto e Pé - Cível	H:Ativo
Petição Juntada Nº Protocolo: WFPA.19.70138042-8 Tipo da Petição: Petições Diversas Data: 21/03/2019 10:52	H:Ativo
Arquivado Provisoriamente	H:Suspenso
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Arquivado cx 107/2015	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80001 - Protocolo: FFPA17000946619	H:Ativo
Carta de Citação Expedida Carta - Citação - Título Executivo Extrajudicial - Cível - NOVO CPC	H:Ativo
Expedição de documento CERTIDÃO GERAL	H:Suspenso
Arquivado Provisoriamente PACOTE Nº 12.741/2017	H:Suspenso
Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Outros Feitos não Especificados - Número: 80003 - Protocolo: FBTU18000330278	H:Ativo
Arquivado Definitivamente	H:Arquivado
Certidão de Publicação Expedida Relação :0109/2019 Data da Disponibilização: 07/03/2019 Data da Publicação: 08/03/2019 Número do Diário: 2762 Página: 837/882	H:Ativo
Arquivado Definitivamente	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Decurso de Prazo Certidão de decurso de prazo - processo digital	H:Arquivado
Remetido ao DJE Relação: 0054/2019 Teor do ato: Nos termos da Ordem de Serviço nº 6/2016 e do artigo 1.007 das Normas da Corregedoria Geral da Justiça, emiti e remeti para a Central de Mandados um único mandado com observação de que se considera ato único, para fins de ressarcimento, (i) as intimações ou citações que devam ser realizadas ao mesmo tempo, no mesmo local ou em local vizinho, inclusive nas ações possessórias em relação a ocupantes não determinados, e (ii) as intimações que devem suceder imediatamente a ato de constrição, tais como os de penhora, arresto, sequestro e depósito. Advogados(s): MOACYR JACINTHO FERREIRA (OAB 49482/SP), ALDENIR NILDA PUCCA (OAB 31770/SP)	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 15/02/2019 devido à alteração da tabela de feriados	H:Ativo
Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório do Setor de Execuções contra a FazPública	H:Ativo
Tipo do Movimento:Publicado  Atos da Serventia Folhas do DJERJ.:682/707	H:Arquivado
Certidão de Cartório Expedida Certidão - Genérica	H:Ativo
Remetido ao DJE Relação: 1451/2018 Teor do ato: Fica o procurador do exequente intimado a retirar o(s) mandado(s) de levantamento expedido(s) na Unidade de Processamento das Execuções contra a Fazenda Pública (UPEFAZ) - 17º andar. Advogados(s): Severino Alves Ferreira (OAB 112813/SP), Carlos Augusto de Carvalho E Souza Machado (OAB 191344/SP), Luciana Ruiz de Lima Ramos Silva (OAB 313645/SP)	H:Ativo
Remetido ao DJE Providencie o(a) I. Advogado(a), Dr.(a.) Severino Alves Ferreira - OAB/SP 112813, a devolução dos autos no prazo de 48 (quarenta e oito) horas, sob pena de busca e apreensão. Caso já tenham sido devolvidos, favor desconsiderar esta cobrança.	H:Ativo
Certidão de Cartório Expedida Certifico e dou fé que procedi à baixa na distribuição do feito, remetendo-o ao arquivo. Nada Mais.	H:Arquivado
Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Cumprimento de sentença - Número: 80010	H:Arquivado
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:1496Maço recebido pelo arquivo em:31/08/2018Local de arquivamento:Arquivo Geral - Rio de Janeiro	H:Arquivado
Certidão de Cartório Expedida C E R T I D Ã OCertifico e dou fé, que a parte autora juntou procuração e taxa de mandato, em cumprimento às fls. 226 e que procedi a anotação de baixa definitiva deste feito, pelo S.A.J., na base de dados do Tribunal de Justiça e arquivamento do feito (61615).	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Remetidos os Autos para o Perito para manifestação. retorno dos autos e m _______/______/2019. Tipo de local de destino: Perito Especificação do local de destino: Perito Vencimento: 12/03/2019	H:Ativo
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Arquivado Definitivamente	H:Arquivado
Guia Juntada Nº Protocolo: Tipo da Petição: Documentos Diversos Data: 26/10/2015 15:37 Complemento: MAND. DE LEV. 20/10/2015	H:Arquivado
Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 9ª Vara de Fazenda Pública	H:Ativo
Arquivado Provisoriamente PACOTE 2017/4707	H:Suspenso
Arquivado Definitivamente ART. 924, II, do CPC. T.J. em 10/12/2018	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:8806Maço recebido pelo arquivo em:02/02/2017Local de arquivamento:Arquivo Geral - Rio de Janeiro	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Mudança de Classe Processual	H:Arquivado
Carta de Intimação Expedida Processo Digital - Carta - Intimação - Andamento em 5 dias	H:Ativo
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:1730Maço recebido pelo arquivo em:04/08/2017Local de arquivamento:Arquivo Geral - Rio de Janeiro	H:Arquivado
Petição Juntada Nº Protocolo: WFND.18.70023789-2 Tipo da Petição: Petições Diversas Data: 01/05/2018 08:18	H:Ativo
Arquivado Definitivamente	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80005 - Protocolo: FFPA18002345916	H:Ativo
Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 13ª Vara de Fazenda Pública	H:Ativo
Arquivado Definitivamente	H:Arquivado
Conclusos para Decisão	H:Ativo
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:9000Maço recebido pelo arquivo em:19/02/2016Local de arquivamento:Arquivo Geral - Rio de Janeiro	H:Arquivado
Certidão de Publicação Expedida Relação :0012/2018 Data da Disponibilização: 31/01/2018 Data da Publicação: 01/02/2018 Número do Diário: 2507 Página: 592/598	H:Ativo
Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital	H:Ativo
Certidão de Publicação Expedida Relação :0057/2019 Data da Disponibilização: 01/02/2019 Data da Publicação: 04/02/2019 Número do Diário: 2740 Página: 1967/1983	H:Ativo
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:1344Maço recebido pelo arquivo em:05/07/2017Local de arquivamento:Arquivo Geral - Rio de Janeiro	H:Arquivado
Arquivado Provisoriamente Certidão - Genérica	H:Suspenso
Arquivado Definitivamente DECISÃO FLS. 261/263 = ART. 487, III, ALÍNEA B, CPC. CERT. DEC. PZ.= 03/06/2016	H:Arquivado
Tipo do Movimento:Processo Desarquivado Situação:Atendido pelo DEGEAData de atendimento:25/03/2019	H:Ativo
Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 1ª. Vara Cível	H:Ativo
Remetida a Carta Precatória ao Cartório de Origem Cumprida Positiva	H:Arquivado
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:354Maço recebido pelo arquivo em:06/05/2013Local de arquivamento:Arquivo Geral - Rio de Janeiro	H:Arquivado
Certidão de Objeto e Pé Expedida Certidão - Objeto e Pé - Cível	H:Suspenso
Arquivado Definitivamente	H:Arquivado
Recebidos os Autos da Procuradoria do Estado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da Vara das Execuções Fiscais Estaduais	H:Arquivado
Certidão de Cartório Expedida Certidão - Genérica	H:Suspenso
Arquivado Provisoriamente	H:Suspenso
Remetidos os Autos para o Tribunal Regional Federal - Recurso	H:Ativo
Cancelada a Distribuição (movimentação exclusiva do distribuidor) Cancelado conforme r. decisão de fls. 49	H:Arquivado
Autos Destruídos Expediente n. 51 de 14/06/2018.	H:Arquivado
Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Retorno ao Arquivo Tipo de local de destino: Arquivo Especificação do local de destino: Arquivo	H:Arquivado
Tipo do Movimento:Publicado  Sentença Folhas do DJERJ.:7/23	H:Ativo
Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato	H:Ativo
Ofício Requisitório-Extinção de Precatório Expedido Ofício - Requisitório Eletrônico - Precatório - Extinção - Execução Fiscal-Fazenda Pública-Acidentes do Trabalho	H:Arquivado
Arquivados Os Autos Definitivamente	H:Arquivado
Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Privado	H:Ativo
Suspensão do Prazo Prazo referente ao usuário foi alterado para 05/04/2019 devido à alteração da tabela de feriados	H:Ativo
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo	H:Arquivado
Carta de Citação Expedida Carta - Citação e Intimação - Audiência de Conciliação - Juizado	H:Arquivado
Trânsito em Julgado às partes - Suspenso Certidão - Trânsito em Julgado	H:Suspenso
Arquivado Definitivamente - Processo Findo com Condenação ARQUIVADO NA CAIXA 4566/2019	H:Arquivado
Petição Juntada	H:Ativo
Certidão de Publicação Expedida Relação :0117/2019 Data da Disponibilização: 02/04/2019 Data da Publicação: 03/04/2019 Número do Diário: 2780 Página: 3126/3131	H:Ativo
Certidão de Publicação Expedida Relação :0026/2019 Data da Disponibilização: 04/02/2019 Data da Publicação: 05/02/2019 Número do Diário: 2741 Página: 3643/3645	H:Ativo
Baixa Definitiva	H:Arquivado
Guia de Recolhimento Expedida Certidão - Guia de Recolhimento do Acervo - (BNMP)	H:Ativo
Tipo do Movimento:Digitação de Documentos 	H:Ativo
Certidão de Publicação Expedida Relação :0020/2019 Data da Disponibilização: 30/01/2019 Data da Publicação: 31/01/2019 Número do Diário: 2738 Página: 1989/2009	H:Ativo
Remetidos Os Autos Para Coordenadoria De Processos Eletrônicos Para Identificação De Peças	H:Ativo
Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:2094Maço recebido pelo arquivo em:16/05/2016Local de arquivamento:Arquivo Regional de Rio Bonito	H:Arquivado
Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital	H:Arquivado
Arquivado Definitivamente	H:Arquivado
Baixa Definitiva	H:Arquivado
Petição Juntada Nº Protocolo: WSTA.19.70163285-0 Tipo da Petição: Petições Diversas Data: 25/03/2019 10:19	H:Ativo
